,F1,aps,context,expID,method,samples,system,thres,wo_length
0,0.4571428571428571,0.2343978801833966,supervised,0,cosine,10,drivetrain,0.6666666666666669,2
1,0.42105263157894735,,unsupervised,0,cosine,10,drivetrain,0.2916666666666667,2
2,0.5384615384615385,,pathfinder,0,cosine,10,drivetrain,,2
3,0.22393822393822396,0.1154659395240395,supervised,0,invite,10,drivetrain,0.043808613463717276,2
4,0.0,,unsupervised,0,invite,10,drivetrain,0.4666666666666666,2
5,0.05555555555555555,,pathfinder,0,invite,10,drivetrain,,2
6,0.04905626348318893,0.027651300084530855,supervised,1,cosine,10,aircraft,0.0,2
7,0.011188811188811189,,unsupervised,1,cosine,10,aircraft,0.5000071111616794,2
8,0.036458333333333336,,pathfinder,1,cosine,10,aircraft,,2
9,0.04942785069279421,0.024459288953597027,supervised,1,invite,10,aircraft,0.0012423337053641004,2
10,0.0,,unsupervised,1,invite,10,aircraft,0.5602670952326771,2
11,0.008021390374331552,,pathfinder,1,invite,10,aircraft,,2
12,0.7111111111111111,0.4177126973174894,supervised,2,cosine,10,bicycle,0.4629100498862758,2
13,0.5614035087719298,,unsupervised,2,cosine,10,bicycle,0.12121212121212122,2
14,0.8750000000000001,,pathfinder,2,cosine,10,bicycle,,2
15,0.4123711340206185,0.23502642709678778,supervised,2,invite,10,bicycle,0.07353311974994994,2
16,0.0,,unsupervised,2,invite,10,bicycle,0.30303030303030304,2
17,0.2222222222222222,,pathfinder,2,invite,10,bicycle,,2
18,0.5714285714285715,0.32417366696897765,supervised,3,cosine,10,drivetrain,0.7378647873726218,3
19,0.5357142857142858,,unsupervised,3,cosine,10,drivetrain,0.36944444444444446,3
20,0.5161290322580646,,pathfinder,3,cosine,10,drivetrain,,3
21,0.634920634920635,0.5967377388397739,supervised,3,invite,10,drivetrain,0.1590954508059269,3
22,0.6153846153846153,,unsupervised,3,invite,10,drivetrain,0.14722222222222223,3
23,0.5,,pathfinder,3,invite,10,drivetrain,,3
24,0.04905626348318893,0.03018098811318152,supervised,4,cosine,10,aircraft,0.0,3
25,0.022068965517241378,,unsupervised,4,cosine,10,aircraft,0.33334281488223916,3
26,0.04060913705583757,,pathfinder,4,cosine,10,aircraft,,3
27,0.04966136118357878,0.03289803356475032,supervised,4,invite,10,aircraft,0.0016446814704190232,3
28,0.01124859392575928,,unsupervised,4,invite,10,aircraft,0.0204019228581181,3
29,0.02406417112299465,,pathfinder,4,invite,10,aircraft,,3
30,0.6451612903225806,0.40528291883555045,supervised,5,cosine,10,bicycle,0.5686274509803921,3
