,m,cls
0,"('oil', 'engine', 'drive', 'low')",
1,"('bucket', 'grease', 'hose', 'repair', 'replace')",
2,"('engine', 'fan', 'left', 'motor', 'replace')",
3,"('boom', 'cracked', 'stick', 'replace', 'leak')",
4,"('bucket', 'grease', 'line', 'pin', 'replace')",
5,"('filter', 'leak', 'oil', 'motor')",
6,"('cab', 'bolts', 'pin', 'track')",
7,"('hose', 'hyd', 'oil', 'text', 'valve')",
8,"('bucket', 'clamp', 'hose', 'ring', 'replace')",
9,"('boom', 'hose', 'hyd', 'blown', 'stick')",
10,"('motor', 'oil', 'ring', 'slew', 'leak')",
11,"('track', 'roller', 'pin', 'missing')",
12,"('light', 'stick', 'hose', 'right')",
13,"('bolts', 'cylinder', 'broken', 'stick', 'replace')",
14,"('boom', 'cylinder', 'ring', 'valve', 'replace')",
15,"('grease', 'line', 'pump', 'pto', 'lube')",
16,"('lube', 'pto', 'leak', 'control')",
17,"('access', 'blown', 'replace', 'stick', 'leak')",
18,"('bucket', 'cylinder', 'line', 'lube', 'replace')",
19,"('drive', 'slew', 'changeout', 'right')",
20,"('fuel', 'tank', 'leak', 'stick', 'replace')",
21,"('filter', 'air', 'hose', 'clamp')",
22,"('bucket', 'tooth', 'missing', 'track', 'stick')",
23,"('shd', 'grease', 'line', 'hyd')",
24,"('drive', 'final')",
25,"('shd', 'tooth', 'missing', 'track', 'stick')",
26,"('bucket', 'replace', 'fan', 'pump')",
27,"('shd', 'damage', 'oil', 'filter')",
28,"('boom', 'oil', 'leak', 'changeout')",
29,"('lube', 'pump', 'leak', 'track')",
30,"('tooth', 'missing', 'track', 'leak', 'stick')",
31,"('access', 'replace', 'lost', 'tooth')",
32,"('motor', 'seal', 'slew', 'leak', 'stick')",
33,"('access', 'step', 'repair', 'fault', 'leak')",
34,"('brake', 'right', 'hand', 'shroud')",
35,"('hose', 'hyd', 'shd', 'blown', 'repair')",
36,"('hyd', 'lube', 'pump', 'travel', 'leak')",
37,"('engine', 'oil', 'pressure', 'switch', 'replace')",
38,"('line', 'grease', 'pump', 'pto', 'leak')",
39,"('cracked', 'stick', 'replace', 'leak', 'valve')",
40,"('air', 'motor', 'travel', 'brake')",
41,"('pump', 'seal', 'pto', 'replace')",
42,"('bolts', 'broken', 'bucket', 'hyd')",
43,"('drive', 'oil', 'pressure', 'pump', 'switch')",
44,"('boom', 'line', 'lube', 'blown', 'replace')",
45,"('fan', 'motor', 'seal', 'right', 'slew')",
46,"('line', 'motor', 'oil', 'travel', 'damage')",
47,"('bolts', 'boom', 'hose', 'broken', 'replace')",
48,"('grease', 'line', 'broken', 'stick', 'replace')",
49,"('clamp', 'oil', 'valve', 'leak', 'reseal')",
50,"('bucket', 'drive', 'oil', 'tooth', 'leak')",
51,"('coolant', 'engine', 'hose', 'hyd', 'oil')",
52,"('hand', 'lip', 'right', 'shroud', 'replace')",
53,"('fan', 'motor', 'seal', 'slew', 'leak')",
54,"('bucket', 'pin', 'shd', 'tooth', 'replace')",
55,"('hose', 'pin', 'missing', 'tooth')",
56,"('cab', 'light', 'fault', 'repair', 'leak')",
57,"('engine', 'oil', 'pressure', 'fault', 'low')",
58,"('pressure', 'switch', 'replace', 'stick', 'leak')",
59,"('boom', 'cylinder', 'stick', 'hyd')",
60,"('pin', 'track', 'missing', 'tooth', 'roller')",
61,"('hyd', 'leak', 'engine', 'block')",
62,"('lube', 'oil', 'pto', 'pump', 'leak')",
63,"('cylinder', 'seal', 'shd', 'warranty', 'leak')",
64,"('bolts', 'cylinder', 'pin', 'text', 'stick')",
65,"('bolts', 'engine', 'fan', 'left', 'pump')",
66,"('drive', 'final', 'oil', 'leak', 'stick')",
67,"('coolant', 'leak', 'seal', 'stick')",
68,"('lube', 'pump', 'shd', 'missing', 'replace')",
69,"('jump', 'missing', 'tooth', 'track', 'stick')",
70,"('filter', 'oil', 'engine', 'shd')",
71,"('bucket', 'grease', 'line', 'lube', 'shd')",
72,"('control', 'hose', 'ring', 'valve', 'blown')",
73,"('box', 'lube', 'pressure', 'pump', 'low')",
74,"('filter', 'hose', 'hyd', 'blown', 'ring')",
75,"('engine', 'oil', 'fan', 'motor')",
76,"('light', 'brake', 'leak', 'cylinder')",
77,"('bucket', 'lube', 'tank', 'block')",
78,"('exhaust', 'turbo', 'cracked', 'pipe')",
79,"('hand', 'right', 'slew', 'leak', 'stick')",
80,"('hose', 'hyd', 'pipe', 'oil', 'slew')",
81,"('boom', 'hose', 'hyd', 'ring', 'blown')",
82,"('hose', 'hyd', 'oil', 'slew', 'leak')",
83,"('hose', 'hyd', 'oil', 'leak', 'stick')",
84,"('hyd', 'shd', 'switch', 'alarm', 'replace')",
85,"('engine', 'light', 'shd', 'switch', 'repair')",
86,"('bolts', 'main', 'pump', 'leak')",
87,"('boom', 'grease', 'hose', 'stick', 'replace')",
88,"('grease', 'oil', 'pump', 'leak', 'replace')",
89,"('oil', 'pump', 'servo', 'slew', 'leak')",
90,"('grease', 'line', 'broken', 'replace', 'stick')",
91,"('boom', 'bucket', 'cracked', 'stick', 'repair')",
92,"('bucket', 'grease', 'hose', 'pin', 'broken')",
93,"('brake', 'right', 'shd', 'slew', 'replace')",
94,"('roller', 'track', 'missing', 'tooth', 'leak')",
95,"('step', 'missing', 'tooth', 'cylinder')",
96,"('drive', 'pressure', 'pump', 'fault', 'low')",
97,"('fuel', 'tank', 'replace', 'stick', 'leak')",
98,"('repair', 'access', 'engine', 'text')",
99,"('boom', 'cylinder', 'hand', 'right', 'changeout')",
